my rank 0, sum = 134209536.000000
my rank 1, sum = 134209536.000000
my rank 2, sum = 134209536.000000
my rank 4, sum = 134209536.000000
my rank 8, sum = 134209536.000000
my rank 16, sum = 134209536.000000
my rank 6, sum = 134209536.000000
my rank 10, sum = 134209536.000000
my rank 18, sum = 134209536.000000
my rank 3, sum = 134209536.000000
my rank 12, sum = 134209536.000000
my rank 24, sum = 134209536.000000
my rank 5, sum = 134209536.000000
my rank 9, sum = 134209536.000000
my rank 17, sum = 134209536.000000
my rank 20, sum = 134209536.000000
my rank 14, sum = 134209536.000000
my rank 22, sum = 134209536.000000
my rank 26, sum = 134209536.000000
my rank 11, sum = 134209536.000000
my rank 19, sum = 134209536.000000
my rank 7, sum = 134209536.000000
my rank 21, sum = 134209536.000000
my rank 25, sum = 134209536.000000
my rank 27, sum = 134209536.000000
my rank 15, sum = 134209536.000000
my rank 23, sum = 134209536.000000
my rank 13, sum = 134209536.000000
time: 0.001425
